Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
1,hatefreeworldX,Vasudhaiva Kutumbakam-World is family | BharatJodo | IndiaAgainstHate | NYAY | Tricolor🇮🇳 belongs to every Indian, 🇮🇳🇧🇩🇵🇰🇱🇰🇧🇹🇳🇵 ,2019,13689,347524,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
2,sashastrakranti,सनातनी,,448,90,2838,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
3,GuptaPragnya,Constitution of India above all. My opinions are not endorsements. NO DM 🙏 Staunch supporter of the Spirit of Democracy & Secularism,India,1784,10797,89266,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
5,CongressFans,,,5081,19230,440481,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
7,Har_preet_Kaur_,Assistant Professor of English | UGC NET Qualified,,322,289,12116,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
11,OnlyWayFrdIsAAP,"We need constitutional guarantee of basic rights to every human being l Play football, not politics I formula1, Tennis & Squash l Masters in Kejrinomics",Pune & Kuwait,2474,550,37595,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
17,MaddymehtaManoj,Winning is my Attitude💪..Not my Luck👍,"Navi Mumbai, Airoli",83,60,10751,5,Honoured to be Inducted by my party @NCPspeaks in the 'Star Campaigners' list for the #GujaratElection2022 https://t.co/Hf2U69L4mL,['GujaratElection2022']
21,judedavid21,"what goes around..comes around..

RTs ARE NOT ENDORSEMENTS

Karnataka Congress Seva Dal",Union of India,4783,7282,238746,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI",['DelhiConfidential']
27,SUSHIL160,"Arise, Awake, Stop Not till the goal is reached","Jaipur, India",210,55,5544,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
29,akpdelhi84,,"New Delhi, India",528,143,4297,29,"AAP Chief #ArvindKejriwal is expected in #Valsad , his last campaign stop before he leaves for #Delhi 

#GujaratElection2022 https://t.co/iaZ8Pcvyus","['ArvindKejriwal', 'Valsad', 'Delhi']"
