,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text
0,2019,13689,347524,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS"
1,448,90,2838,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ"
2,1784,10797,89266,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P"
3,5081,19230,440481,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022"
4,322,289,12116,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4"
5,2474,550,37595,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ
6,83,60,10751,5,Honoured to be Inducted by my party @NCPspeaks in the 'Star Campaigners' list for the #GujaratElection2022 https://t.co/Hf2U69L4mL
7,4783,7282,238746,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI"
8,210,55,5544,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3"
9,528,143,4297,29,"AAP Chief #ArvindKejriwal is expected in #Valsad , his last campaign stop before he leaves for #Delhi 

#GujaratElection2022 https://t.co/iaZ8Pcvyus"
10,424,43,41452,5,"BJP announces 3 more candidates for Gujarat polls

Read @ANI Story | https://t.co/sbDJRT4POm
#GujaratElection2022 #Gujarat #BJP https://t.co/PJvOojlF48"
11,78,626,171284,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1"
12,2032,2914,93993,0,@PadmajaJoshi Gujarat is one of the nicest states to travel in - I live in delhi &amp; kejri mian has taken the city back more than a decade #GujaratElection2022
13,62,882551,413361,1,"Know the entire schedule of #BJP's star campaigner PM @narendramodi in poll-bound state #Gujarat

#GujaratElection2022 #TV9News https://t.co/bVphySDvhV"
14,295,58,944,12,"Ravindra Jadeja's wife joins the BJP, and hare  is the reason: 🤣🤣

#RavindraJadeja #RivaBaJadeja #GujaratElections #GujaratElection2022 #GujaratAssemblyElection2022 https://t.co/yOJP22wUhb"
