Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
,,,,,,,,,
1,hatefreeworldX,Vasudhaiva Kutumbakam-World is family | BharatJodo | IndiaAgainstHate | NYAY | Tricolor🇮🇳 belongs to every Indian, 🇮🇳🇧🇩🇵🇰🇱🇰🇧🇹🇳🇵 ,2019,13689,347524,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,sashastrakranti,सनातनी,,448,90,2838,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
2,GuptaPragnya,Constitution of India above all. My opinions are not endorsements. NO DM 🙏 Staunch supporter of the Spirit of Democracy & Secularism,India,1784,10797,89266,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,faizelhashim,proud indian,,2998,866,58054,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
3,CongressFans,,,5081,19230,440481,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,KriShJObat,"Congressman।  ना थके कभी पैर ना कभी हिम्मत हारी है
हौंसला है ज़िन्दगी में कुछ कर दिखाने का
इसलिए अभी भी सफर जारी है।",India,1406,1525,67482,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
4,Har_preet_Kaur_,Assistant Professor of English | UGC NET Qualified,,322,289,12116,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
,apurvasays,"Nothing Special.
I am on mastodon: apurvasays@mastodon.social",India,3055,1404,83960,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
5,Jagmeet40487019,Student,,23,50,26386,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
,HashmiNawab,Ardent Supporter of Indian National Congress,,446,302,22380,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
6,OnlyWayFrdIsAAP,"We need constitutional guarantee of basic rights to every human being l Play football, not politics I formula1, Tennis & Squash l Masters in Kejrinomics",Pune & Kuwait,2474,550,37595,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
,Sandeepdhaliwl,Botanist,,75,66,5118,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
7,puneetgarg89,A cool guy.,Punjab ,309,116,11125,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,viveknangia6,"humanity is the first religion... Every Tweet is just a POV. 100 percent proud “Anti National” , “Anti Hindu” & “Urban Naxal” for MODI bhakts",India,295,183,10303,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
8,black_blots,nothing white about me.,,218,3,362,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,PawanSarangal9,,,6,14,683,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
9,MaddymehtaManoj,Winning is my Attitude💪..Not my Luck👍,"Navi Mumbai, Airoli",83,60,10751,5,Honoured to be Inducted by my party @NCPspeaks in the 'Star Campaigners' list for the #GujaratElection2022 https://t.co/Hf2U69L4mL,['GujaratElection2022']
,Muzzris,From God's own country ...Kerala,India ,2774,3218,141561,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
10,Bhaskhar_0007,Shiv Bhakt,"Hyderabad, India",4999,984,33504,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,KamleshMukhija,,,102,56,3676,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
11,judedavid21,"what goes around..comes around..

RTs ARE NOT ENDORSEMENTS

Karnataka Congress Seva Dal",Union of India,4783,7282,238746,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI",['DelhiConfidential']
,LadyVelvet_Y,Indian | NRI | K Beauty | Traveller | Risk Analyst | Dreamer | Achiever | Unapologetically Awesome 🤩 Follow me to get a footprint of my virtual life.,The Little prince’s planet,738,275,12467,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI",['DelhiConfidential']
12,Mohan52488216,mohan,Rajasthan ,4693,879,7267,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,a_samnaveen,"Indian, தமிழன். #NotASanghi , Congress supporter




https://t.co/xWHuoGgjPr","Coimbatore, India",3274,529,19630,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
13,jivankumarsury4,jivan kumar,NAPAKHEDA MANDSAUR MADHAY PRAD,908,200,9818,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,Indian_fairy77,महासचिव राजस्थान प्रदेश कांग्रेस (SM),Rajasthan India,121,15066,76938,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
14,SUSHIL160,"Arise, Awake, Stop Not till the goal is reached","Jaipur, India",210,55,5544,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. On telegram: https://t.co/O25yz9lo3W",India,308,4240808,930969,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI","['DelhiConfidential', 'GujaratElection2022']"
15,akpdelhi84,,"New Delhi, India",528,143,4297,29,"AAP Chief #ArvindKejriwal is expected in #Valsad , his last campaign stop before he leaves for #Delhi 

#GujaratElection2022 https://t.co/iaZ8Pcvyus","['ArvindKejriwal', 'Valsad', 'Delhi']"
,Mohammedhamza90,A Secular Man with Lot of Desire's | Socialist| True Politician - Congress | InshaAllah |My Dream Charity Home | Love Friends | Nickname(Hamzayy) by my Sis...,"Dubai, United Arab Emirates",1151,468,29749,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
16,mrugayaswami,"Fear is no policy,surrender is no option....","गोवा (Goa), भारत (Bharat)",424,43,41452,5,"BJP announces 3 more candidates for Gujarat polls

Read @ANI Story | https://t.co/sbDJRT4POm
#GujaratElection2022 #Gujarat #BJP https://t.co/PJvOojlF48","['GujaratElection2022', 'Gujarat']"
,GokulChandSha10,"Senior jouranalist, 
Approved from Government of Rajasthan
vast experience in journalism by working in many newspaper eg., Times of india.
Accreditation no:1740",,78,626,171284,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
17,SevadalTN,Official Twitter handle of Tamil Nadu Congress Sevadal. @CongressSevadal is headed by National President (Chief Organiser) Shri. @LaljiDesaiG.,"Chennai, India",143,5308,85962,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
,SpartanHominine,"Look for three qualities in people: integrity, intelligence, and energy, without the first the other two will screw you.

Retweets & Likes are not endorsements.",Yokohama,1396,833,208451,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
18,khurshid4alam,,,1077,156,15038,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,RPSinghAAP,"Mechanical Engineer.Member of @AamAadmiParty since 2012.

शिक्षा,स्वास्थ्य,रोजगार,बिजली और पानी आम आदमी का अधिकार!!

जय जगन्नाथ🙏🙏🙏","ओडिशा/उत्तर प्रदेश, भारत",499,505,20953,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
19,Bindu_Congressi,#CFE(Congressi ForEver),Union Of India,3671,6023,152535,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
,allau_deen,,Tamil Nadu ramnad,2559,1783,246035,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
20,gitithadani,Shakti -open source energy - scrap article 370   - yes to uniform civil code + no to appeasement - corrupt belong in Jail,N.Delhi,2032,2914,93993,0,@PadmajaJoshi Gujarat is one of the nicest states to travel in - I live in delhi &amp; kejri mian has taken the city back more than a decade #GujaratElection2022,['GujaratElection2022']
,prakash_lekhak,कहानी लेखक:धर्मयुग;मेरी सहेली;सरिता एवम् विभिन्न पत्र-पत्रिकाओं में प्रकाशित।मोदीजी पर पूर्ण विश्वास-देश को विश्व का सिरमौर बनायेंगे,भारतमाता की जय,681,1460,44010,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
